	↑ Click "File" > "Download As" to download				Getting started with Japanese Counters:		https://www.tofugu.com/japanese/japanese-counters-guide/										
度	ど	Number of times something happens, chances, opportunities, experiences	Common	Daily	いちど ひとたび	にど ふたたび	さんど みたび	よんど (よたび)	ごど (いつたび)	ろくど (むたび)	ななど (しちど) (ななたび)	はちど (やたび)	きゅうど (ここたび)	じゅうど (とたび)	なんど いくど (いくたび)		We could delete よたび and above with たび as it's very rare nowadays (you'll only see them in classic Japanese writings).  七度狐 しちどぎつね
杯	はい	Bowls of food/soup, cups/glasses/mugs of drink/soup	Common	Daily	いっぱい	にはい	さんばい	よんはい (よんばい)	ごはい	ろっぱい ろくはい	ななはい (しちはい)	はっぱい はちはい	きゅうはい	じゅっぱい (じっぱい)	なんばい (なんはい)		
泊	はく	Number of overnight stays or rentals	Common	Daily	いっぱく	にはく	さんぱく (さんはく)	よんはく (よんぱく)	ごはく	ろっぱく (ろくはく)	ななはく (しちはく)	はっぱく (はちはく)	きゅうはく	じゅっぱく (じっぱく)	なんぱく (なんはく)		
箱	はこ	Boxes	Common	Daily	ひとはこ (いっぱこ)	ふたはこ (にはこ)	さんぱこ (さんはこ) (みはこ)	よんはこ	ごはこ	ろっぱこ (ろくはこ)	ななはこ (しちはこ)	はっぱこ (はちはこ)	きゅうはこ	じゅっぱこ (じっぱこ)	なんはこ (なんぱこ)		This is Kun'yomi, but I saw some say しちはこ, so I'm adding it.
発	はつ	Bullets, bullet marks, explosives, fireworks, shots	Common	Daily	いっぱつ	にはつ	さんぱつ さんはつ	よんはつ よんぱつ	ごはつ	ろっぱつ ろくはつ	ななはつ (しちはつ)	はっぱつ はちはつ	きゅうはつ	じゅっぱつ (じっぱつ)	なんぱつ なんはつ		
番	ばん	Turns, orders, ranks, numbers	Common	Daily	いちばん	にばん	さんばん	よんばん (よばん)	ごばん	ろくばん	ななばん （しちばん）	はちばん	きゅうばん	じゅうばん	なんばん		It's pronounced よばん only when it's used in baseball. Should we add this to the list article as a little trivia?  四番バッター: よばんばったー not よんばんばったー
秒	びょう	Seconds	Common	Daily	いちびょう	にびょう	さんびょう	よんびょう	ごびょう	ろくびょう	ななびょう (しちびょう)	はちびょう	きゅうびょう	じゅうびょう	なんびょう		
便	びん	Flights, ships, instances of shipping out, long-distance bus trips, deliveries	Common	Formal	いちびん	にびん	さんびん	よびん （よんびん）	ごびん	ろくびん	ななびん (しちびん)	はちびん	きゅうびん	じゅうびん	なんびん		
袋	ふくろ	Bags, sacks, pouches	Common	Daily	ひとふくろ	ふたふくろ	さんふくろ	よんふくろ	ごふくろ	ろっぷくろ ろくふくろ	ななふくろ	はっぷくろ はちふくろ	きゅうふくろ	じゅっぷくろ (じっぷくろ)	なんふくろ (なんぷくろ) (なんぶくろ)		Kun'yomi, and I didn't see any しちふくろ usage, so I'm not adding it.
部屋	へや	Rooms	Common	Daily	ひとへや	ふたへや	さんへや みへや	よんへや	ごへや	ろくへや (ろっぺや)	ななへや	はちへや (はっぺや)	きゅうへや	じゅっぺや (じっへや)	なんへや (なんべや) (なんぺや)		Kun'yomi, and I didn't see any しちへや usage, so I'm not adding it.
歩	ほ	Steps	Common	Daily	いっぽ	にほ	さんぽ	よんほ	ごほ	ろっぽ	ななほ	はっぽ (はちほ)	きゅうほ	じゅっぽ (じっぽ)	なんぽ		七歩之才（しちほのさい） On'yomi, but I didn't see the しちほ usage other than the above very uncommon idiom, and I've personally never heard of しちほ, so I'm not adding it.
名	めい	Number of people	Common	Formal	いちめい	にめい	さんめい	よんめい (よめい)	ごめい	ろくめい	ななめい (しちめい)	はちめい	きゅうめい	じゅうめい	なんめい		
文字	もじ	Letters, characters, moras in poetry	Common	Daily	ひともじ いちもじ	ふたもじ にもじ	さんもじ	よんもじ	ごもじ	ろくもじ	ななもじ (しちもじ)	はちもじ	きゅうもじ	じゅうもじ	なんもじ		Kun'yomi, but it can be read as しちもじ, especially when it's 17文字 (じゅうしちもじ) that refers to haiku.
問	もん	Questions and problems in a quiz, tests, exams, textbooks, worksheets, etc.	Common	Daily	いちもん	にもん	さんもん	よんもん	ごもん	ろくもん	ななもん (しちもん)	はちもん	きゅうもん	じゅうもん	なんもん		
話	わ	Stories, episodes	Common	Daily	いちわ	にわ	さんわ	よんわ	ごわ	ろくわ	ななわ (しちわ)	はちわ	きゅうわ	じゅうわ	なんわ		
案	あん	Plans, ideas, projects, schemes	Semi Common	Formal	いちあん	にあん	さんあん	よんあん	ごあん	ろくあん	ななあん (しちあん)	はちあん	きゅうあん	じゅうあん	なんあん		
位	い	Ranks, classes, grades, orders, decimal places	Semi Common	Daily/Formal	いちい	にい	さんい	よんい	ごい	ろくい	なない (しちい)	はちい	きゅうい	じゅうい	なんい		
院	いん	Hospitals, doctor's offices, clinics, temples, mosques, government houses etc.	Semi Common	Formal	いちいん	にいん	さんいん	よんいん	ごいん	ろくいん	なないん (しちいん)	はちいん	きゅういん	じゅういん	なんいん		
駅	えき	Train stations, bus stations	Semi Common	Daily	ひとえき	ふたえき	さんえき	よんえき	ごえき	ろくえき	ななえき	はちえき	きゅうえき	じゅうえき	なんえき		
枝	えだ	Branches with flowers, fruit, and/or leaves	Semi Common	Daily	ひとえだ	ふたえだ	さんえだ	よんえだ	ごえだ	ろくえだ	ななえだ	はちえだ	きゅうえだ	じゅうえだ	なんえだ		
園	えん	Zoos, botanical gardens, theme parks, farms, orchards, kindergartens, nursery schools, daycares	Semi Common	Formal	いちえん	にえん	さんえん	よんえん	ごえん	ろくえん	ななえん (しちえん)	はちえん	きゅうえん	じゅうえん	なんえん		
折/折り	おり	Number of folds, bento in folded boxes, boxes of cakes, boxes of sweets, etc.	Semi Common	Daily/Formal	ひとおり	ふたおり	みおり さんおり	よんおり	ごおり	ろくおり	ななおり	はちおり	きゅうおり	じゅうおり	なんおり		
音	おん	Syllables, musical notes	Semi Common	Formal	いちおん	におん	さんおん	よんおん	ごおん	ろくおん	ななおん (しちおん)	はちおん	きゅうおん	じゅうおん	なんおん		
課	か	Company/organization sections, departments, divisions, lessons	Semi Common	Formal	いっか	にか	さんか	よんか	ごか	ろっか	ななか (しちか)	はっか はちか	きゅうか	じゅっか (じっか)	なんか		
海	かい	Seas, oceans	Semi Common	Formal	いっかい	にかい	さんかい	よんかい	ごかい	ろっかい	しちかい (ななかい)	はっかい はちかい	きゅうかい	じゅっかい (じっかい)	なんかい		
階級	かいきゅう	Ranks, grades, classes	Semi Common	Formal	いっかいきゅう	にかいきゅう	さんかいきゅう	よんかいきゅう	ごかいきゅう	ろっかいきゅう (ろくかいきゅう)	ななかいきゅう (しちかいきゅう)	はっかいきゅう はちかいきゅう	きゅうかいきゅう	じゅっかいきゅう (じっかいきゅう)	なんかいきゅう		
回線	かいせん	Electric circuits, phone/internet/optical communication lines	Semi Common	Formal	いっかいせん (いちかいせん)	にかいせん	さんかいせん	よんかいせん	ごかいせん	ろっかいせん (ろくかいせん)	ななかいせん (しちかいせん)	はっかいせん はちかいせん	きゅうかいせん	じゅっかいせん (じっかいせん)	なんかいせん		
画	かく	Kanji strokes, plots/divisions/blocks of land	Semi Common	Formal	いっかく	にかく	さんかく	よんかく	ごかく	ろっかく (ろくかく)	ななかく (しちかく)	はっかく はちかく	きゅうかく	じゅっかく (じっかく)	なんかく		
片	かけ	Garlic cloves, "fingers" of ginger, pieces of bread or fruit	Semi Common	Daily	ひとかけ	ふたかけ	さんかけ (みかけ)	よんかけ	ごかけ	ろっかけ ろくかけ	ななかけ	はっかけ はちかけ	きゅうかけ	じゅっかけ (じっかけ)	なんかけ		
欠片	かけら	Glass shards, garlic cloves, pieces of ginger, bread, and anything else	Semi Common	Daily	ひとかけら	ふたかけら	さんかけら (みかけら)	よんかけら	ごかけら	ろっかけら (ろくかけら)	ななかけら	はっかけら はちかけら	きゅうかけら	じゅっかけら (じっかけら)	なんかけら		
籠	かご	Baskets, basketfuls of something, bird cages etc.	Semi Common	Daily	ひとかご	ふたかご	さんかご (みかご)	よんかご	ごかご	ろっかご (ろくかご)	ななかご	はっかご はちかご	きゅうかご	じゅっかご (じっかご)	なんかご		
塊	かたまり	Lumps, balls, or masses of something	Semi Common	Daily	ひとかたまり	ふたかたまり	さんかたまり	よんかたまり	ごかたまり	ろっかたまり (ろくかたまり)	ななかたまり	はっかたまり はちかたまり	きゅうかたまり	じゅっかたまり (じっかたまり)	なんかたまり		
河川	かせん	Rivers	Semi Common	Formal	いっかせん	にかせん	さんかせん	よんかせん	ごかせん	ろっかせん (ろくかせん)	ななかせん (しちかせん)	はっかせん はちかせん	きゅうかせん	じゅっかせん (じっかせん)	なんかせん		
